J,parity,state,v,observed_cm,input_weight,previous_cm,final_cm,delta_cm,rank_changed
2.0,-,2,12,18479.43682,0.001,18480.253511258747,18480.253511070146,-1.8860009731724858e-07,False
2.0,-,2,12,18500.47771,0.0002,18501.511593286734,18501.51159313466,-1.5207479009404778e-07,False
2.0,-,3,7,18854.73371,0.01,18854.63536403125,18854.635363476787,-5.54464349988848e-07,False
2.0,-,5,5,19139.4857,2.56,19139.508249345425,19139.508267149282,1.7803857190301642e-05,False
2.0,-,5,5,19157.90898,1.44,19157.839311689753,19157.839326952293,1.526253981865011e-05,False
2.0,-,2,13,19817.42176,0.0009,19819.8742951916,19819.87429493189,-2.597080310806632e-07,False
2.0,-,2,13,19838.45089,0.0009,19841.089254847782,19841.089254115588,-7.321941666305065e-07,False
2.0,-,3,8,20267.65342,0.01,20267.51426573604,20267.514273802175,8.06613388704136e-06,False
2.0,-,5,6,21014.73296,0.49,21014.843245167896,21014.84322398162,-2.1186275262152776e-05,False
2.0,-,5,6,21033.00032,0.16,21032.735660354763,21032.735629696264,-3.0658498872071505e-05,False
2.0,-,2,14,21132.11926,0.0008,21137.512013315787,21137.51201323719,-7.859853212721646e-08,False
2.0,-,3,9,21655.78712,0.0004,21655.592655495137,21655.592668256588,1.2761451216647401e-05,False
2.0,-,5,7,22854.01042,0.64,22854.01808708615,22854.018098734323,1.1648171494016424e-05,False
2.0,-,5,7,22872.02755,0.16,22871.921555093384,22871.921566979097,1.1885713320225477e-05,False
2.0,-,3,10,23019.02508,0.0003,23018.779598910645,23018.779606954246,8.043600246310234e-06,False
2.0,-,3,11,24357.24308,0.0003,24356.970320693115,24356.970318629108,-2.0640072762034833e-06,False
2.0,-,3,12,25670.30659,0.001,25670.05206833092,25670.05205919763,-9.133287676377222e-06,False
2.0,-,3,13,26958.06807,0.0009,26957.892134657082,26957.89212830756,-6.3495208451058716e-06,False
2.0,-,3,14,28220.3351,0.0002,28220.331127354195,28220.33112609553,-1.2586642696987838e-06,False
