v,rank,inner_probability,quasibound,barrier_r_angstrom,barrier_absolute_cm,J,observed_cm,calculated_cm,residual_cm,input_weight,python_duo_delta_cm
13,14,0.9999999999999999,False,4.3271,37242.152935760176,8,29790.237,29790.270361784475,-0.03336178447352722,8.90870806374748,1.8189894035458565e-11
14,15,0.9999999999999997,False,4.3271,37242.152935760176,8,31219.066191,31219.029774042767,0.03641695723490557,8.606629658238704,-1.382431946694851e-10
15,16,1.0,False,4.3271,37242.152935760176,8,32501.026594,32500.96157890273,0.06501509726876975,8.333333333333334,-6.912159733474255e-11
16,17,0.9999999999999996,False,4.3271,37242.152935760176,8,33620.173767,33620.10792922222,0.06583777777996147,8.084520834544433,-1.4551915228366852e-10
17,18,0.9999999999803412,False,4.3271,37242.152935760176,8,34553.960266,34553.94947979009,0.01078620991029311,7.856742013183862,-2.473825588822365e-10
0,1,1.0000000000000002,False,4.2447,37259.05649780055,9,935.3525,935.353194488821,-0.000694488821068262,31.622776601683793,1.7132606444647536e-10
1,2,1.0,False,4.2447,37259.05649780055,9,3794.0211,3794.044440410139,-0.02334041013909882,22.36067977499789,1.4279066817834973e-10
2,3,1.0000000000000002,False,4.2447,37259.05649780055,9,6548.9328,6548.935591980787,-0.0027919807871512603,18.257418583505537,1.546140993013978e-10
3,4,1.0000000000000002,False,4.2447,37259.05649780055,9,9200.785741,9200.789187210188,-0.0034462101884855656,15.811388300841896,1.8553691916167736e-10
4,5,1.0000000000000002,False,4.2447,37259.05649780055,9,11749.978783,11749.9916252106,-0.012842210599046666,14.142135623730947,1.0913936421275139e-11
5,6,0.9999999999999994,False,4.2447,37259.05649780055,9,14196.567135,14196.57321106296,-0.006076062960346462,12.909944487358057,1.2005330063402653e-10
6,7,0.9999999999999999,False,4.2447,37259.05649780055,9,16540.194897,16540.179259621254,0.015637378746760078,11.952286093343936,-7.639755494892597e-11
7,8,0.9999999999999999,False,4.2447,37259.05649780055,9,18780.001,18779.99716519154,0.0038348084599419963,11.180339887498945,-1.0186340659856796e-10
8,9,1.0,False,4.2447,37259.05649780055,9,20914.661,20914.648231959305,0.012768040694936644,10.540925533894598,1.3460521586239338e-10
9,10,1.0000000000000002,False,4.2447,37259.05649780055,9,22942.066,22942.051458630973,0.014541369026119355,10.0,1.8189894035458565e-10
10,11,1.0,False,4.2447,37259.05649780055,9,24859.220095,24859.260931865996,-0.040836865995515836,9.534625892455923,-2.546585164964199e-11
11,12,1.0000000000000004,False,4.2447,37259.05649780055,9,26662.195999,26662.269830642654,-0.07383164265411324,9.128709291752768,3.2741809263825417e-11
12,13,0.9999999999999999,False,4.2447,37259.05649780055,9,28345.6927,28345.761894050473,-0.06919405047301552,8.770580193070291,4.001776687800884e-11
13,14,1.0000000000000002,False,4.2447,37259.05649780055,9,29902.749197,29902.772979038255,-0.023782038253557403,8.451542547285165,-7.275957614183426e-12
14,15,1.0000000000000009,False,4.2447,37259.05649780055,9,31324.236414,31324.193932871654,0.042481128344661556,8.164965809277259,2.546585164964199e-11
